##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	SRR39441559_1.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1201663
Total Bases	181.4 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.05142207091339	37.0	37.0	37.0	25.0	37.0
2	35.282595037044494	37.0	37.0	37.0	37.0	37.0
3	35.553428040973216	37.0	37.0	37.0	37.0	37.0
4	35.32375466332907	37.0	37.0	37.0	37.0	37.0
5	35.75887915330671	37.0	37.0	37.0	37.0	37.0
6	35.99999916781993	37.0	37.0	37.0	37.0	37.0
7	35.923890475116565	37.0	37.0	37.0	37.0	37.0
8	35.96634913449112	37.0	37.0	37.0	37.0	37.0
9	35.81215781795728	37.0	37.0	37.0	37.0	37.0
10-14	35.92491688601546	37.0	37.0	37.0	37.0	37.0
15-19	35.92622806893446	37.0	37.0	37.0	37.0	37.0
20-24	35.88837519337784	37.0	37.0	37.0	37.0	37.0
25-29	35.785888722545344	37.0	37.0	37.0	37.0	37.0
30-34	35.737084690133585	37.0	37.0	37.0	37.0	37.0
35-39	35.71523130861148	37.0	37.0	37.0	37.0	37.0
40-44	35.691820085997485	37.0	37.0	37.0	37.0	37.0
45-49	35.67237802944753	37.0	37.0	37.0	37.0	37.0
50-54	35.63579755721862	37.0	37.0	37.0	37.0	37.0
55-59	35.61292592016231	37.0	37.0	37.0	37.0	37.0
60-64	35.58445537559199	37.0	37.0	37.0	37.0	37.0
65-69	35.558767141869225	37.0	37.0	37.0	37.0	37.0
70-74	35.542605872029014	37.0	37.0	37.0	37.0	37.0
75-79	35.516240576600936	37.0	37.0	37.0	37.0	37.0
80-84	35.48782495591526	37.0	37.0	37.0	37.0	37.0
85-89	35.44467608639028	37.0	37.0	37.0	37.0	37.0
90-94	35.406062764685274	37.0	37.0	37.0	37.0	37.0
95-99	35.376637043830094	37.0	37.0	37.0	37.0	37.0
100-104	35.33246143053419	37.0	37.0	37.0	37.0	37.0
105-109	35.328225134667534	37.0	37.0	37.0	37.0	37.0
110-114	35.30696875912797	37.0	37.0	37.0	37.0	37.0
115-119	35.25711734487955	37.0	37.0	37.0	29.8	37.0
120-124	35.209296782875064	37.0	37.0	37.0	25.0	37.0
125-129	35.171628651294085	37.0	37.0	37.0	25.0	37.0
130-134	35.188078354746715	37.0	37.0	37.0	25.0	37.0
135-139	35.10526861524404	37.0	37.0	37.0	25.0	37.0
140-144	35.060683402917455	37.0	37.0	37.0	25.0	37.0
145-149	35.018304799265685	37.0	37.0	37.0	25.0	37.0
150-151	34.902357399703575	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
2109	70-74	0.032248833746379546
2109	75-79	0.08359454027412028
2109	80-84	-0.04276731375200171
2109	85-89	0.21085024711418043
2109	90-94	-0.012215677366228306
2109	95-99	0.17185072558743997
2109	100-104	0.17112989636606812
2109	105-109	-0.03517034708060862
2109	110-114	-0.24380888100358078
2109	115-119	-0.04008435233058805
2109	120-124	0.07917620197618191
2109	125-129	0.031550546781680566
2109	130-134	0.0073374055988892906
2109	135-139	-0.09707534121337602
2109	140-144	-0.0708224247334499
2109	145-149	-0.2739781919505617
2109	150-151	-0.17391075678906986
2110	1	-0.1851711133672893
2110	2	-0.304297672269648
2110	3	-0.30400295420948
2110	4	-0.26106853646383854
2110	5	-0.2758485224882534
2110	6	0.287091521134613
2110	7	-0.3185081309826998
2110	8	0.01474183790600847
2110	9	-0.112311376431947
2110	10-14	-0.1534022477273851
2110	15-19	-0.18855492867905355
2110	20-24	-0.05089996351001247
2110	25-29	-0.10819941689864976
2110	30-34	-0.13276899114686813
2110	35-39	-0.1635421219949933
2110	40-44	-0.06295803281835788
2110	45-49	-0.08431657864936426
2110	50-54	-0.2099943306583114
2110	55-59	-0.13879194907062953
2110	60-64	-0.08422129423299651
2110	65-69	-0.01438653152031577
2110	70-74	-0.23770056150898
2110	75-79	-0.14430554227263315
2110	80-84	-0.11563455704955317
2110	85-89	-0.31379031563929516
2110	90-94	-0.2930490406077979
2110	95-99	-0.08637487825996004
2110	100-104	-0.16082287253892957
2110	105-109	-0.14407678213785147
2110	110-114	-0.34717463487072564
2110	115-119	-0.08913434694709821
2110	120-124	-0.30197729908258
2110	125-129	-0.08899282615016801
2110	130-134	-0.2098588762085285
2110	135-139	-0.3348975426992169
2110	140-144	-0.32057729678599856
2110	145-149	-0.10259822568705346
2110	150-151	-0.1441634216133849
2111	1	-0.08590720343007519
2111	2	-0.07453473656928367
2111	3	0.005457968068064645
2111	4	0.03199994877827805
2111	5	0.2812345402237284
2111	6	-0.10097948990673444
2111	7	0.21721388677005393
2111	8	0.013352648326737437
2111	9	-0.02806153880475648
2111	10-14	0.033642567167618154
2111	15-19	0.07533552379983632
2111	20-24	-0.07989758204215747
2111	25-29	0.006671045683440013
2111	30-34	0.004594796108669641
2111	35-39	-0.13592503315902604
2111	40-44	0.1362618560464668
2111	45-49	-0.02548999280827502
2111	50-54	0.05937566284677587
2111	55-59	-0.07256693644163192
2111	60-64	-0.064747382130804
2111	65-69	-0.036778824224363404
2111	70-74	-0.08784489289384112
2111	75-79	0.0024376200280116223
2111	80-84	-0.026971787330282382
2111	85-89	-0.0238401099670682
2111	90-94	-0.017629397106318834
2111	95-99	-0.09137163080379196
2111	100-104	0.02703524970974769
2111	105-109	-0.17017983474664078
2111	110-114	0.013525372345846165
2111	115-119	-0.01632493654081202
2111	120-124	-0.08652157273488825
2111	125-129	-0.07598496008969846
